,CG1_0,CG1_1,CG2_0,CG2_1,CG3_0,CG3_1,CG4_0,CG4_1,CG5_0,CG5_1,CG6_0,CG6_1,CG7_0,CG7_1,CG8_0,CG8_1,CG9_0,CG9_1,CG10_0,CG10_1,CG11_0,CG11_1
CG1_0,1,0,0.65910290237467,0.34089709762533,0.7740232312566,0.2259767687434,0.48270356572645,0.51729643427355,0.475675675675676,0.524324324324324,0.703619909502262,0.296380090497738,0.718535469107552,0.281464530892448,0.697940503432494,0.302059496567506,0.701149425287356,0.298850574712644,0.888888888888889,0.111111111111111,0.666666666666667,0.333333333333333
CG1_1,0,1,0.0399298529610144,0.960070147038986,0.141853553093758,0.858146446906242,0.236666211976538,0.763333788023462,0.153385344106994,0.846614655893006,0.217123670956911,0.782876329043089,0.154279279279279,0.845720720720721,0.118806306306306,0.881193693693694,0.210704225352113,0.789295774647887,0.576923076923077,0.423076923076923,0.692307692307692,0.307692307692308
CG2_0,0,0,1,0,0.755987055016181,0.244012944983819,0.569744597249509,0.430255402750491,0.498675496688742,0.501324503311258,0.671834625322997,0.328165374677003,0.655352480417755,0.344647519582245,0.64490861618799,0.35509138381201,0.706036745406824,0.293963254593176,0.888888888888889,0.111111111111111,0.666666666666667,0.333333333333333
CG2_1,0,0,0,1,0.173952288845906,0.826047711154094,0.230779237673995,0.769220762326005,0.163563829787234,0.836436170212766,0.23876556578235,0.76123443421765,0.184741144414169,0.815258855585831,0.147138964577657,0.852861035422343,0.224645583424209,0.775354416575791,0.576923076923077,0.423076923076923,0.692307692307692,0.307692307692308
CG3_0,0,0,0,0,1,0,0.453386454183267,0.546613545816733,0.425315425315425,0.574684574684575,0.713881019830028,0.286118980169972,0.61965811965812,0.38034188034188,0.470756062767475,0.529243937232525,0.590844062947067,0.409155937052933,0.941176470588235,0.0588235294117647,0.764705882352941,0.235294117647059
CG3_1,0,0,0,0,0,1,0.224829224829225,0.775170775170775,0.143311138014528,0.856688861985472,0.134232498394348,0.865767501605652,0.110032362459547,0.889967637540453,0.125485122897801,0.874514877102199,0.18252427184466,0.81747572815534,0.388888888888889,0.611111111111111,0.611111111111111,0.388888888888889
CG4_0,0,0,0,0,0,0,1,0,0.506183017312449,0.493816982687552,0.330055316533497,0.669944683466503,0.281057810578106,0.718942189421894,0.265067650676507,0.734932349323493,0.300863131935882,0.699136868064118,0.888888888888889,0.111111111111111,0.666666666666667,0.333333333333333
CG4_1,0,0,0,0,0,0,0,1,0.112981498331817,0.887018501668183,0.275862068965517,0.724137931034483,0.238938053097345,0.761061946902655,0.146902654867257,0.853097345132743,0.330388692579505,0.669611307420495,0.576923076923077,0.423076923076923,0.692307692307692,0.307692307692308
CG5_0,0,0,0,0,0,0,0,0,1,0,0.464975845410628,0.535024154589372,0.373188405797101,0.626811594202899,0.367149758454106,0.632850241545894,0.412832929782082,0.587167070217918,0.75,0.25,0.8,0.2
CG5_1,0,0,0,0,0,0,0,0,0,1,0.233443708609272,0.766556291390728,0.207388748950462,0.792611251049538,0.148614609571788,0.851385390428212,0.257983193277311,0.742016806722689,0.535714285714286,0.464285714285714,0.64,0.36
CG6_0,0,0,0,0,0,0,0,0,0,0,1,0,0.73985572587917,0.26014427412083,0.520343580470163,0.479656419529837,0.779783393501805,0.220216606498195,0.938046647230321,0.0619533527696793,0.908140403286034,0.0918595967139657
CG6_1,0,0,0,0,0,0,0,0,0,0,0,1,0.120025070510812,0.879974929489188,0.10222640326121,0.89777359673879,0.147741530740276,0.852258469259724,0.344093406593407,0.655906593406593,0.380311614730878,0.619688385269122
CG7_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.557587740978744,0.442412259021256,0.806913580246914,0.193086419753086,0.899532710280374,0.100467289719626,0.848678943154524,0.151321056845476
CG7_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.103834808259587,0.896165191740413,0.166961651917404,0.833038348082596,0.411046885035324,0.588953114964676,0.461030383091149,0.538969616908851
CG8_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.802301963439404,0.197698036560596,0.874704491725768,0.125295508274232,0.889555822328932,0.110444177671068
CG8_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.257760814249364,0.742239185750636,0.528938097634625,0.471061902365375,0.528095733610822,0.471904266389178
CG9_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.87030213706706,0.12969786293294,0.868381240544629,0.131618759455371
CG9_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.41571524513096,0.58428475486904,0.425311203319502,0.574688796680498
CG10_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.875543263532201,0.124456736467799
CG10_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.237084217975938,0.762915782024062
CG11_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CG11_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
