CG1_0,CG1_1,CG2_0,CG2_1,CG3_0,CG3_1,CG4_0,CG4_1,CG5_0,CG5_1,CG6_0,CG6_1,CG7_0,CG7_1,CG8_0,CG8_1,CG9_0,CG9_1,CG10_0,CG10_1,CG11_0,CG11_1
CG1_0,1,0,0.115839243498818,0.884160756501182,0.250591016548463,0.749408983451537,0.225806451612903,0.774193548387097,0.165238678090575,0.834761321909425,0.206030150753769,0.793969849246231,0.170854271356784,0.829145728643216,0.100502512562814,0.899497487437186,0.231155778894472,0.768844221105528,0.166666666666667,0.833333333333333,0.333333333333333,0.666666666666667
CG1_1,0,1,0.0289539940489815,0.971046005951019,0.0906071019473081,0.909392898052692,0.217195093728304,0.782804906271696,0.122533380597897,0.877466619402103,0.0734360834088849,0.926563916591115,0.0652670013692378,0.934732998630762,0.0676107811786204,0.93238921882138,0.0812785388127854,0.918721461187215,0.35,0.65,0.325,0.675
CG2_0,0,0,1,0,0.225714285714286,0.774285714285714,0.305714285714286,0.694285714285714,0.251479289940828,0.748520710059172,0.234042553191489,0.765957446808511,0.161290322580645,0.838709677419355,0.129032258064516,0.870967741935484,0.21505376344086,0.78494623655914,1,0,1,0
CG2_1,0,0,0,1,0.100260134402775,0.899739865597225,0.214700405301786,0.785299594698215,0.121561171997316,0.878438828002684,0.0781857451403888,0.921814254859611,0.07083876575402,0.92916123424598,0.0678555893866899,0.93214441061331,0.0887342322749021,0.911265767725098,0.295454545454545,0.704545454545455,0.295454545454545,0.704545454545455
CG3_0,0,0,0,0,1,0,0.388888888888889,0.611111111111111,0.258201058201058,0.741798941798942,0.19559902200489,0.80440097799511,0.133004926108374,0.866995073891626,0.0985221674876847,0.901477832512315,0.202469135802469,0.797530864197531,0.6,0.4,0.6,0.4
CG3_1,0,0,0,0,0,1,0.197345236696817,0.802654763303183,0.110433117970806,0.889566882029194,0.0618811881188119,0.938118811881188,0.0627490039840637,0.937250996015936,0.0643070787637089,0.935692921236291,0.0707523667164923,0.929247633283508,0.30952380952381,0.69047619047619,0.285714285714286,0.714285714285714
CG4_0,0,0,0,0,0,0,1,0,0.415934065934066,0.584065934065934,0.0911285455642728,0.908871454435727,0.0688821752265861,0.931117824773414,0.0689238210399033,0.931076178960097,0.105804111245466,0.894195888754534,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333
CG4_1,0,0,0,0,0,0,0,1,0.0520441097364174,0.947955890263583,0.0734463276836158,0.926553672316384,0.097841726618705,0.902158273381295,0.069164265129683,0.930835734870317,0.0590778097982709,0.940922190201729,0.302325581395349,0.697674418604651,0.27906976744186,0.720930232558139
CG5_0,0,0,0,0,0,0,0,0,1,0,0.111111111111111,0.888888888888889,0.0845410628019324,0.915458937198068,0.0845410628019324,0.915458937198068,0.1243961352657,0.8756038647343,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333
CG5_1,0,0,0,0,0,0,0,0,0,1,0.0734966592427617,0.926503340757238,0.0728228228228228,0.927177177177177,0.0601503759398496,0.93984962406015,0.0729323308270677,0.927067669172932,0.317073170731707,0.682926829268293,0.25,0.75
CG6_0,0,0,0,0,0,0,0,0,0,0,1,0,0.424710424710425,0.575289575289575,0.228239845261122,0.771760154738878,0.511583011583012,0.488416988416988,0.680147058823529,0.319852941176471,0.631178707224335,0.368821292775665
CG6_1,0,0,0,0,0,0,0,0,0,0,0,1,0.0500859845227859,0.949914015477214,0.0556390977443609,0.944360902255639,0.069224174882126,0.930775825117874,0.248130841121495,0.751869158878505,0.211089494163424,0.788910505836576
CG7_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.207505518763797,0.792494481236203,0.485714285714286,0.514285714285714,0.567685589519651,0.432314410480349,0.529680365296804,0.470319634703196
CG7_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0601567464520229,0.939843253547977,0.0783692437684833,0.921630756231517,0.268315018315018,0.731684981684982,0.231318419800095,0.768681580199905
CG8_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.346456692913386,0.653543307086614,0.474860335195531,0.525139664804469,0.476190476190476,0.523809523809524
CG8_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0952579034941764,0.904742096505824,0.281696428571429,0.718303571428571,0.241427247451344,0.758572752548656
CG9_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.635483870967742,0.364516129032258,0.527027027027027,0.472972972972973
CG9_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.24693685202639,0.75306314797361,0.220753793441018,0.779246206558982
CG10_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.528795811518325,0.471204188481675
CG10_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.152069716775599,0.847930283224401
CG11_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CG11_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
