CG1_0,CG1_1,CG2_0,CG2_1,CG3_0,CG3_1,CG4_0,CG4_1,CG5_0,CG5_1,CG6_0,CG6_1,CG7_0,CG7_1,CG8_0,CG8_1,CG9_0,CG9_1,CG10_0,CG10_1,CG11_0,CG11_1
CG1_0,1,0,0.0878859857482185,0.912114014251782,0.281622911694511,0.718377088305489,0.260290556900726,0.739709443099274,0.251851851851852,0.748148148148148,0.305263157894737,0.694736842105263,0.131578947368421,0.868421052631579,0.115789473684211,0.884210526315789,0.236842105263158,0.763157894736842,0.428571428571429,0.571428571428571,0.428571428571429,0.571428571428571
CG1_1,0,1,0.0225299225533912,0.977470077446609,0.0891554928252176,0.910844507174782,0.231998092513114,0.768001907486886,0.152430044182622,0.847569955817378,0.0916370106761566,0.908362989323843,0.0693202146690519,0.930679785330948,0.0724508050089445,0.927549194991055,0.0823634735899731,0.917636526410027,0.363636363636364,0.636363636363636,0.285714285714286,0.714285714285714
CG2_0,0,0,1,0,0.27906976744186,0.720930232558139,0.295719844357977,0.704280155642023,0.2,0.8,0.233333333333333,0.766666666666667,0.333333333333333,0.666666666666667,0.0666666666666667,0.933333333333333,0.283333333333333,0.716666666666667,0,1,1,0
CG2_1,0,0,0,1,0.101363236587511,0.898636763412489,0.23297291271876,0.76702708728124,0.160650853672511,0.839349146327489,0.105196982397318,0.894803017602682,0.067425200168563,0.932574799831437,0.0758533501896334,0.924146649810367,0.0894137494727963,0.910586250527204,0.377049180327869,0.622950819672131,0.290909090909091,0.709090909090909
CG3_0,0,0,0,0,1,0,0.47112462006079,0.52887537993921,0.378935939196526,0.621064060803475,0.188888888888889,0.811111111111111,0.129175946547884,0.870824053452116,0.0868596881959911,0.913140311804009,0.207589285714286,0.792410714285714,0.571428571428571,0.428571428571429,0.285714285714286,0.714285714285714
CG3_1,0,0,0,0,0,1,0.205648081100652,0.794351918899348,0.136116600790514,0.863883399209486,0.091937069813176,0.908062930186824,0.062809099901088,0.937190900098912,0.0722057368941642,0.927794263105836,0.0717821782178218,0.928217821782178,0.345454545454545,0.654545454545455,0.306122448979592,0.693877551020408
CG4_0,0,0,0,0,0,0,1,0,0.537715517241379,0.462284482758621,0.109170305676856,0.890829694323144,0.0786026200873362,0.921397379912664,0.0709606986899563,0.929039301310044,0.0967213114754098,0.90327868852459,1,0,0.5,0.5
CG4_1,0,0,0,0,0,0,0,1,0.0590302178496135,0.940969782150387,0.116357504215852,0.883642495784148,0.0655172413793104,0.93448275862069,0.0862068965517241,0.913793103448276,0.0986159169550173,0.901384083044983,0.35,0.65,0.296296296296296,0.703703703703704
CG5_0,0,0,0,0,0,0,0,0,1,0,0.13404050144648,0.86595949855352,0.0821256038647343,0.917874396135266,0.0830917874396135,0.916908212560386,0.117021276595745,0.882978723404255,0.333333333333333,0.666666666666667,0.4,0.6
CG5_1,0,0,0,0,0,0,0,0,0,1,0.0945359930615785,0.905464006938422,0.0665499124343257,0.933450087565674,0.0770577933450088,0.922942206654991,0.0798245614035088,0.920175438596491,0.355932203389831,0.644067796610169,0.294117647058824,0.705882352941177
CG6_0,0,0,0,0,0,0,0,0,0,0,1,0,0.352941176470588,0.647058823529412,0.134185303514377,0.865814696485623,0.4496,0.5504,0.519083969465649,0.480916030534351,0.506172839506173,0.493827160493827
CG6_1,0,0,0,0,0,0,0,0,0,0,0,1,0.0478380864765409,0.952161913523459,0.0671944035346097,0.93280559646539,0.0816476645825671,0.918352335417433,0.251516376870198,0.748483623129802,0.242450765864333,0.757549234135667
CG7_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.19706498951782,0.80293501048218,0.472049689440994,0.527950310559006,0.455752212389381,0.544247787610619,0.441747572815534,0.558252427184466
CG7_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0637193484875604,0.93628065151244,0.0887616320687187,0.911238367931281,0.259968102073365,0.740031897926635,0.252046531667385,0.747953468332615
CG8_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.289823008849558,0.710176991150443,0.516908212560386,0.483091787439614,0.456410256410256,0.543589743589744
CG8_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.105666429080542,0.894333570919458,0.257323832145685,0.742676167854315,0.252252252252252,0.747747747747748
CG9_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.567204301075269,0.432795698924731,0.498567335243553,0.501432664756447
CG9_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.231094212082805,0.768905787917195,0.228794131132508,0.771205868867492
CG10_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.54517453798768,0.45482546201232
CG10_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.162382700938392,0.837617299061608
CG11_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CG11_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
