CG1_0,CG1_1,CG2_0,CG2_1,CG3_0,CG3_1,CG4_0,CG4_1,CG5_0,CG5_1,CG6_0,CG6_1,CG7_0,CG7_1,CG8_0,CG8_1,CG9_0,CG9_1,CG10_0,CG10_1,CG11_0,CG11_1
CG1_0,1,0,0.108208955223881,0.891791044776119,0.134328358208955,0.865671641791045,0.240458015267176,0.759541984732824,0.187620889748549,0.812379110251451,0.103448275862069,0.896551724137931,0.0608695652173913,0.939130434782609,0.0521739130434783,0.947826086956522,0.0782608695652174,0.921739130434783,0.333333333333333,0.666666666666667,0,1
CG1_1,0,1,0.0199845530025101,0.98001544699749,0.085954893040364,0.914045106959636,0.231215008348885,0.768784991651115,0.150971900493504,0.849028099506496,0.0555336746750689,0.944466325324931,0.0458860759493671,0.954113924050633,0.0439082278481013,0.956091772151899,0.051984126984127,0.948015873015873,0.122448979591837,0.877551020408163,0.181818181818182,0.818181818181818
CG2_0,0,0,1,0,0.206225680933852,0.793774319066148,0.318897637795276,0.681102362204724,0.198380566801619,0.801619433198381,0.087719298245614,0.912280701754386,0.0714285714285714,0.928571428571429,0.087719298245614,0.912280701754386,0.12962962962963,0.87037037037037,0,1,1,0
CG2_1,0,0,0,1,0.0854129390714757,0.914587060928524,0.229541108986616,0.770458891013384,0.151577503429355,0.848422496570645,0.0571976967370441,0.942802303262956,0.0462784419591207,0.953721558040879,0.0432098765432099,0.95679012345679,0.0514109006571318,0.948589099342868,0.137254901960784,0.862745098039216,0.152173913043478,0.847826086956522
CG3_0,0,0,0,0,1,0,0.432946145723337,0.567053854276663,0.345251396648045,0.654748603351955,0.0729166666666667,0.927083333333333,0.0836820083682008,0.916317991631799,0.0439330543933054,0.956066945606695,0.0735294117647059,0.926470588235294,0,1,0.5,0.5
CG3_1,0,0,0,0,0,1,0.211507128309572,0.788492871690428,0.134477379095164,0.865522620904836,0.0563002680965147,0.943699731903485,0.0390835579514825,0.960916442048518,0.0440251572327044,0.955974842767296,0.0500225326723749,0.949977467327625,0.145833333333333,0.854166666666667,0.13953488372093,0.86046511627907
CG4_0,0,0,0,0,0,0,1,0,0.537037037037037,0.462962962962963,0.0524308865586273,0.947569113441373,0.0438931297709924,0.956106870229008,0.045324427480916,0.954675572519084,0.0597228858098423,0.940277114190158,0,1,0.4,0.6
CG4_1,0,0,0,0,0,0,0,1,0.0481418918918919,0.951858108108108,0.0867924528301887,0.913207547169811,0.0578034682080925,0.942196531791908,0.0366088631984586,0.963391136801541,0.0389863547758285,0.961013645224172,0.148936170212766,0.851063829787234,0.142857142857143,0.857142857142857
CG5_0,0,0,0,0,0,0,0,0,1,0,0.0559875583203732,0.944012441679627,0.0452065471551052,0.954793452844895,0.0545596258768511,0.945440374123149,0.0725429017160686,0.927457098283931,0.166666666666667,0.833333333333333,1,0
CG5_1,0,0,0,0,0,0,0,0,0,1,0.0644007155635063,0.935599284436494,0.0505871725383921,0.949412827461608,0.0342960288808664,0.965703971119134,0.0317604355716878,0.968239564428312,0.132075471698113,0.867924528301887,0.133333333333333,0.866666666666667
CG6_0,0,0,0,0,0,0,0,0,0,0,1,0,0.195250659630607,0.804749340369393,0.170666666666667,0.829333333333333,0.251322751322751,0.748677248677249,0.341614906832298,0.658385093167702,0.269503546099291,0.730496453900709
CG6_1,0,0,0,0,0,0,0,0,0,0,0,1,0.0438810336421258,0.956118966357874,0.0541287386215865,0.945871261378413,0.0540980935310412,0.945901906468959,0.1732616212063,0.8267383787937,0.177440347071584,0.822559652928416
CG7_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.169540229885057,0.830459770114943,0.268361581920904,0.731638418079096,0.240506329113924,0.759493670886076,0.298611111111111,0.701388888888889
CG7_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0551690664940948,0.944830933505905,0.0547811993517018,0.945218800648298,0.179241669858292,0.820758330141708,0.173969631236443,0.826030368763558
CG8_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.180904522613065,0.819095477386935,0.278301886792453,0.721698113207547,0.27979274611399,0.72020725388601
CG8_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0583047525722685,0.941695247427731,0.175871523697611,0.824128476302389,0.173546382600976,0.826453617399024
CG9_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.461904761904762,0.538095238095238,0.455497382198953,0.544502617801047
CG9_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.160623781676413,0.839376218323587,0.159010600706714,0.840989399293286
CG10_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.420245398773006,0.579754601226994
CG10_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13276310896244,0.86723689103756
CG11_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CG11_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
