,CG1_0,CG1_1,CG2_0,CG2_1,CG3_0,CG3_1,CG4_0,CG4_1,CG5_0,CG5_1,CG6_0,CG6_1,CG7_0,CG7_1,CG8_0,CG8_1,CG9_0,CG9_1,CG10_0,CG10_1,CG11_0,CG11_1
CG1_0,1,0,0.594346049046321,0.405653950953678,0.751031636863824,0.248968363136176,0.43101641634649,0.56898358365351,0.400498398006408,0.599501601993592,0.782738095238095,0.217261904761905,0.73644578313253,0.26355421686747,0.508295625942685,0.491704374057315,0.725903614457831,0.274096385542169,0.666666666666667,0.333333333333333,0.8,0.2
CG1_1,0,1,0.0514728211357425,0.948527178864258,0.198660374486223,0.801339625513777,0.300061804697157,0.699938195302843,0.180469123982767,0.819530876017233,0.210850801479655,0.789149198520345,0.179280397022333,0.820719602977667,0.19056486654252,0.80943513345748,0.321939092604102,0.678060907395898,0.5,0.5,0.65,0.35
CG2_0,0,0,1,0,0.747686312713103,0.252313687286897,0.491332342743933,0.508667657256067,0.446130500758725,0.553869499241275,0.814655172413793,0.185344827586207,0.745054945054945,0.254945054945055,0.613186813186813,0.386813186813187,0.764835164835165,0.235164835164835,0.666666666666667,0.333333333333333,0.833333333333333,0.166666666666667
CG2_1,0,0,0,1,0.263080026899798,0.736919973100202,0.298894499795278,0.701105500204722,0.193248945147679,0.806751054852321,0.268372346216658,0.731627653783342,0.241247264770241,0.758752735229759,0.200438116100767,0.799561883899233,0.358004385964912,0.641995614035088,0.521739130434783,0.478260869565217,0.652173913043478,0.347826086956522
CG3_0,0,0,0,0,1,0,0.435395683453237,0.564604316546763,0.425953295891221,0.574046704108779,0.643504531722054,0.356495468277946,0.617258883248731,0.382741116751269,0.413197969543147,0.586802030456853,0.659552845528455,0.340447154471545,0.529411764705882,0.470588235294118,0.705882352941177,0.294117647058824
CG3_1,0,0,0,0,0,1,0.284016736401674,0.715983263598326,0.145488980716253,0.854511019283747,0.207264957264957,0.792735042735043,0.15850144092219,0.84149855907781,0.197833935018051,0.802166064981949,0.290462427745665,0.709537572254335,0.631578947368421,0.368421052631579,0.736842105263158,0.263157894736842
CG4_0,0,0,0,0,0,0,1,0,0.549844774060021,0.450155225939979,0.405265875064533,0.594734124935467,0.357883817427386,0.642116182572614,0.30269989615784,0.69730010384216,0.465732087227414,0.534267912772586,0.833333333333333,0.166666666666667,0.833333333333333,0.166666666666667
CG4_1,0,0,0,0,0,0,0,1,0.108349267049076,0.891650732950924,0.352534562211982,0.647465437788018,0.343675417661098,0.656324582338902,0.255980861244019,0.744019138755981,0.379807692307692,0.620192307692308,0.533333333333333,0.466666666666667,0.7,0.3
CG5_0,0,0,0,0,0,0,0,0,1,0,0.52753108348135,0.47246891651865,0.468331846565566,0.531668153434434,0.35950044603033,0.64049955396967,0.565178571428571,0.434821428571429,0.55,0.45,0.666666666666667,0.333333333333333
CG5_1,0,0,0,0,0,0,0,0,0,1,0.276237623762376,0.723762376237624,0.261352169525732,0.738647830474268,0.229757085020243,0.770242914979757,0.35258358662614,0.64741641337386,0.575757575757576,0.424242424242424,0.733333333333333,0.266666666666667
CG6_0,0,0,0,0,0,0,0,0,0,0,1,0,0.809182676652556,0.190817323347444,0.612650798826215,0.387349201173785,0.851174934725849,0.148825065274151,0.937667560321716,0.0623324396782842,0.934390771449171,0.0656092285508291
CG6_1,0,0,0,0,0,0,0,0,0,0,0,1,0.0805835359499826,0.919416464050017,0.114236111111111,0.885763888888889,0.225537820957668,0.774462179042332,0.340770791075051,0.659229208924949,0.403389830508475,0.596610169491525
CG7_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.663847002574476,0.336152997425524,0.918681318681319,0.0813186813186813,0.946334089191232,0.053665910808768,0.938361719383617,0.0616382806163828
CG7_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125386040765905,0.874613959234095,0.237874575223973,0.762125424776027,0.418884120171674,0.581115879828326,0.476599808978032,0.523400191021968
CG8_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.858047016274864,0.141952983725136,0.960694698354662,0.0393053016453382,0.954901960784314,0.0450980392156863
CG8_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.365990389749066,0.634009610250934,0.493525179856115,0.506474820143885,0.542197452229299,0.457802547770701
CG9_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.907732293697206,0.092267706302794,0.929068150208623,0.0709318497913769
CG9_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.362303664921466,0.637696335078534,0.382075471698113,0.617924528301887
CG10_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.917344753747323,0.0826552462526767
CG10_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.269535673839185,0.730464326160815
CG11_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CG11_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
