,CG1_0,CG1_1,CG2_0,CG2_1,CG3_0,CG3_1,CG4_0,CG4_1,CG5_0,CG5_1,CG6_0,CG6_1,CG7_0,CG7_1,CG8_0,CG8_1,CG9_0,CG9_1,CG10_0,CG10_1,CG11_0,CG11_1
CG1_0,1,0,0.238455988455988,0.761544011544012,0.509433962264151,0.490566037735849,0.327675276752768,0.672324723247232,0.312902005297011,0.687097994702989,0.547738693467337,0.452261306532663,0.421319796954315,0.578680203045685,0.320338983050847,0.679661016949153,0.598984771573604,0.401015228426396,0.764705882352941,0.235294117647059,0.5625,0.4375
CG1_1,0,1,0.0317805383022774,0.968219461697723,0.196404447677439,0.803595552322561,0.226908477435681,0.773091522564319,0.152314257577415,0.847685742422585,0.211555555555556,0.788444444444444,0.122767857142857,0.877232142857143,0.13125,0.86875,0.326466636811464,0.673533363188536,0.833333333333333,0.166666666666667,0.875,0.125
CG2_0,0,0,1,0,0.616525423728814,0.383474576271186,0.434224598930481,0.565775401069519,0.40929203539823,0.59070796460177,0.666666666666667,0.333333333333333,0.483516483516484,0.516483516483517,0.447513812154696,0.552486187845304,0.703296703296703,0.296703296703297,0.857142857142857,0.142857142857143,0.571428571428571,0.428571428571429
CG2_1,0,0,0,1,0.237159329140461,0.762840670859539,0.234119943222143,0.765880056777857,0.169804389751125,0.830195610248875,0.254586297266941,0.745413702733059,0.164347499059797,0.835652500940203,0.151184655885671,0.848815344114329,0.361236802413273,0.638763197586727,0.807692307692308,0.192307692307692,0.816326530612245,0.183673469387755
CG3_0,0,0,0,0,1,0,0.382063882063882,0.617936117936118,0.356106993232356,0.643893006767644,0.497967479674797,0.502032520325203,0.346585117227319,0.653414882772681,0.257142857142857,0.742857142857143,0.532786885245902,0.467213114754098,0.785714285714286,0.214285714285714,0.785714285714286,0.214285714285714
CG3_1,0,0,0,0,0,1,0.201683464392513,0.798316535607487,0.128052955946131,0.871947044053869,0.178187403993856,0.821812596006144,0.105371900826446,0.894628099173554,0.128615702479339,0.871384297520661,0.31353305785124,0.68646694214876,0.822222222222222,0.177777777777778,0.785714285714286,0.214285714285714
CG4_0,0,0,0,0,0,0,1,0,0.554001554001554,0.445998445998446,0.297917552061198,0.702082447938801,0.196686491079014,0.803313508920986,0.17849553761156,0.82150446238844,0.396170212765957,0.603829787234043,0.777777777777778,0.222222222222222,0.777777777777778,0.222222222222222
CG4_1,0,0,0,0,0,0,0,1,0.0808529061586752,0.919147093841325,0.238658777120316,0.761341222879684,0.146090534979424,0.853909465020576,0.156378600823045,0.843621399176955,0.34639175257732,0.65360824742268,0.82,0.18,0.787234042553192,0.212765957446809
CG5_0,0,0,0,0,0,0,0,0,1,0,0.356481481481481,0.643518518518518,0.242471042471042,0.757528957528958,0.220849420849421,0.779150579150579,0.452362509682417,0.547637490317583,0.75,0.25,0.714285714285714,0.285714285714286
CG5_1,0,0,0,0,0,0,0,0,0,1,0.233558178752108,0.766441821247892,0.144206008583691,0.855793991416309,0.134763948497854,0.865236051502146,0.324185248713551,0.675814751286449,0.796296296296296,0.203703703703704,0.795918367346939,0.204081632653061
CG6_0,0,0,0,0,0,0,0,0,0,0,1,0,0.544851966416262,0.455148033583738,0.391150442477876,0.608849557522124,0.720282810428635,0.279717189571365,0.893968871595331,0.106031128404669,0.882352941176471,0.117647058823529
CG6_1,0,0,0,0,0,0,0,0,0,0,0,1,0.0918253079507279,0.908174692049272,0.119713582456925,0.880286417543074,0.261503928170595,0.738496071829405,0.587073608617594,0.412926391382406,0.714749837556855,0.285250162443145
CG7_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.471985383678441,0.528014616321559,0.826666666666667,0.173333333333333,0.901639344262295,0.0983606557377049,0.907161803713528,0.0928381962864721
CG7_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125982704402516,0.874017295597484,0.282788499409216,0.717211500590784,0.622175512348923,0.377824487651077,0.722857142857143,0.277142857142857
CG8_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.737138830162086,0.262861169837914,0.898278560250391,0.101721439749609,0.89202657807309,0.10797342192691
CG8_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.330757632868451,0.669242367131549,0.645145631067961,0.354854368932039,0.74488188976378,0.25511811023622
CG9_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8938127090301,0.1061872909699,0.915555555555556,0.0844444444444444
CG9_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.55659121171771,0.44340878828229,0.666424945612763,0.333575054387237
CG10_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.893180922349231,0.106819077650769
CG10_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.483904465212876,0.516095534787124
CG11_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CG11_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
